Team,Wins-Losses,Adjusted efficiency margin,Offensive Efficiency ,Defensive Efficiency ,Adjusted Tempo,Luck,Stength of Schedule Rating,Average adjusted offensive efficiency of opposing opponents ,Average adjusted defensive efficiency of opposing defenses,
Nicholls,20-13,-0.78,105.6,106.4,68.1,0.054,-1.88,104.4,106.3,8.08
Illinois Chicago,17-14,-0.87,106.9,107.8,69.1,0.066,1.26,107.2,105.9,2.35
Sam Houston State,13-19,-0.97,110.3,111.3,67.5,-0.04,4.09,107.1,103,7.09
East Carolina,19-14,-1.09,106.8,107.9,66.6,0.039,-1.2,106.9,108.1,-5.47
Oakland,16-18,-1.34,107.1,108.5,63.8,-0.007,-0.21,107.4,107.6,13.8
Princeton,19-11,-1.38,105.3,106.7,66.4,0.118,-0.95,107.2,108.1,0.05
Jacksonville,19-13,-1.43,101.7,103.2,67.4,0.062,-2.56,107.3,109.9,6.73
Norfolk State,24-10,-1.53,107.1,108.7,66.3,0.056,-7.23,103,110.3,3.03
Cal Poly,16-19,-1.58,109.5,111.1,74.4,-0.006,1.42,106.4,105,5.05
Eastern Kentucky,18-14,-1.73,109.6,111.4,67.6,0.019,-2.94,105.8,108.8,4.3
Central Connecticut,25-7,-1.76,99.7,101.5,65.7,0.023,-11.83,100.2,112.1,-2.8
Boston College,12-19,-1.78,105.4,107.2,66.7,0.018,5.43,109.6,104.1,-6.75
Wyoming,12-20,-1.98,103.6,105.5,64.6,-0.027,4.99,109.4,104.4,-3.01
Montana State,15-18,-2.04,105.3,107.3,65.8,-0.063,-1.96,106,108,5.02
Drexel,18-15,-2.05,103.9,106,62.9,-0.052,-4.61,105.3,109.9,-5.21
Merrimack,18-15,-2.15,99.9,102,64.4,-0.002,-5.4,103.9,109.3,7.12
SIUE,22-11,-4.32,101.9,106.2,65.8,0.052,-9.1,101.3,110.4,-3.52
American,22-12,-5.98,102.1,108,63.5,0.133,-7.09,103.2,110.3,1.65
Mount St. Mary's,22-12,-6.67,100.1,106.8,67.4,0.147,-7.26,101.9,109.2,-1.18
Alabama State,19-15,-9.24,101.4,110.6,67.7,0.049,-8.7,100.7,109.4,6.15
Saint Francis,16-17,-12.76,99.7,112.4,66.9,0.074,-6.8,101.5,108.3,7.94
